iter	MultiClass
0	0.346203410611	0.3098371682	1.117255345
3	1.109874095
4	1.104208974
5	1.097675079
6	1.093100685
7	1.086761344
8	1.072110545
9	1.064432412
10	1.059952936
11	1.05629053
12	1.048460063
13	1.044259892
14	1.037430257
15	1.027260613
16	1.024470006
17	1.022320164
18	1.016363259
19	1.013166671
20	1.009392905
21	1.005381401
22	1.001425733
23	0.9964181007
24	0.9916370108
25	0.9854093871
26	0.9826159009
27	0.9792904018
28	0.9772432787
29	0.9730909915
30	0.9702443987
31	0.9673696008
32	0.9632038049
33	0.9602900914
34	0.9577298564
35	0.9518399681
36	0.9479889668
37	0.943678596
38	0.9412669269
39	0.9386712382
40	0.9362493341
41	0.9326887226
42	0.9287853427
43	0.9271088342
44	0.9244456114
45	0.9212781164
46	0.9178617067
47	0.9153488333
48	0.9127775303
49	0.9109545779
50	0.909962439
51	0.9077612613
52	0.9057359539
53	0.9037698394
54	0.9026319392
55	0.9003362628
56	0.8979642673
57	0.8960728499
58	0.8947466417
59	0.8932541402
60	0.8916885832
61	0.8886608372
62	0.8874948381
63	0.8844960676
64	0.8836307487
65	0.8826613871
66	0.8807602175
67	0.8795738952
68	0.8775482157
69	0.8756199635
70	0.8745909188
71	0.8735226594
72	0.87065885
73	0.8690388154
86
73	0.2028748313
74	0.2025824192
75	0.2021839379
76	0.2007220862
77	0.1996743718
78	0.1991895282
79	0.1990141031
80	0.1986523838
81	0.198143044
82	0.1974143814
83	0.1970262634
84	0.196744262
85	0.1964819562
86	0.1959434549
87	0.1956893814
88	0.1954487506
89	0.194587507
90	0.194235734
91	0.1938677163
92	0.1934452816
93	0.1924402957
94	0.1914507855
95	0.190726568
96	0.1901613308
97	0.1896270705
98	0.1894241857
99	0.1892260518
