iter	Passed	Remaining
0	4	421
1	6	314
2	9	319
3	12	288
4	13	259
5	15	245
6	18	241
7	22	255
8	24	251
9	26	240
10	28	232
11	30	221
12	32	216
13	34	213
14	37	213
15	40	210
16	42	208
17	45	205
18	47	201
19	49	198
20	51	194
21	53	189
22	54	184
23	56	179
24	58	174
25	59	170
26	61	167
27	63	163
28	65	160
29	67	157
30	69	154
31	70	150
32	72	146
33	74	144
34	77	143
35	79	140
36	80	137
37	81	133
38	83	130
39	85	127
40	86	125
41	88	122
42	90	120
43	92	117
44	93	114
45	95	111
46	96	109
47	98	106
48	100	104
49	101	101
50	103	99
51	105	97
52	106	94
53	108	92
54	109	89
55	111	87
56	112	85
57	114	82
58	115	80
59	117	78
60	118	75
61	120	73
62	121	71
63	123	69
64	125	67
65	126	65
66	128	63
67	129	61
68	131	59
69	133	57
70	134	55
71	136	52
72	137	50
73	139	48
74	140	46
75	142	44
76	143	42
77	145	40
78	146	39
79	148	37
80	150	35
81	151	33
82	153	31
83	155	29
84	156	27
85	158	25
86	160	23
87	162	22
88	163	20
89	165	18
90	167	16
91	169	14
92	172	12
93	173	11
94	175	9
95	177	7
96	179	5
97	181	3
98	182	1
99	184	0
